Wall time,Step,Value
1598638805.1971292,282650,1.0
1598639075.789407,283706,1.0
1598639225.2862666,284303,1.0
1598639368.9998891,284886,1.0
1598639536.6225746,285537,1.0
1598639713.9190931,286234,1.0
1598639834.6594524,286703,1.0
1598639942.1643343,287135,1.0
1598639943.645183,287143,1.0
1598640003.1633837,287386,1.0
1598640355.0394773,288760,1.0
1598640400.9752862,288937,1.0
1598640481.2189186,289252,1.0
1598640510.1900325,289364,1.0
1598640668.2770588,289985,1.0
1598640885.810601,290816,1.0
1598641443.7146602,293017,1.0
1598641647.5820131,293826,1.0
1598641692.9291139,294001,1.0
1598642052.800776,295408,1.0
1598642090.8312967,295573,0.96875
1598642421.875051,296881,1.0
1598642796.4912512,298351,1.0
1598642813.7590475,298413,1.0
1598643001.38618,299168,1.0
1598643081.0636504,299485,1.0
1598643397.8167887,300714,1.0
1598643426.9888422,300833,1.0
1598643464.136844,300993,1.0
1598643476.7423456,301028,1.0
1598643684.8902264,301829,1.0
1598643840.9333496,302431,1.0
1598643852.669396,302494,1.0
1598644000.8719745,303066,1.0
1598644247.2383823,304023,1.0
1598644309.613976,304279,1.0
1598644573.792328,305304,1.0
1598644879.1001065,306506,1.0
1598645069.604245,307270,1.0
1598645361.734564,308411,1.0
1598645471.0573015,308855,0.96875
1598645512.3083875,309009,1.0
1598645695.644459,309747,1.0
1598645699.8090308,309764,1.0
1598645739.8782003,309916,1.0
1598645746.1890502,309944,1.0
1598645789.867194,310106,1.0
1598645831.934055,310294,1.0
1598646178.1101162,311639,1.0
1598646419.3170114,312587,1.0
1598646464.461215,312755,1.0
1598646714.7283156,313736,1.0
1598646759.7579618,313906,1.0
1598646767.3596997,313947,1.0
1598646852.5001743,314291,1.0
1598646976.3010373,314780,1.0
1598647077.1254318,315169,1.0
1598647182.4961793,315589,1.0
1598647334.9866698,316196,1.0
1598647486.6748888,316795,1.0
1598647715.5587556,317697,1.0
1598647799.1481254,318006,1.0
1598647902.0372255,318409,1.0
1598648006.1950316,318828,1.0
1598648078.6382866,319111,1.0
1598648159.1744843,319435,1.0
1598648286.8574677,319941,0.96875
1598648308.1206808,320013,1.0
1598648372.4991484,320282,1.0
1598648398.7167327,320391,1.0
1598648490.5207174,320743,1.0
1598648518.9574256,320858,1.0
1598648538.9118352,320927,1.0
1598648544.1263852,320955,1.0
1598648651.378909,321383,1.0
1598648907.745938,322388,1.0
1598649131.4477463,323008,1.0
1598649142.0805795,323049,1.0
1598649326.103036,323527,1.0
1598649619.959086,324304,1.0
1598649760.778913,324689,1.0
1598649910.0870805,325062,1.0
1598650410.1715448,326379,1.0
1598650529.2556396,326676,1.0
1598651054.994588,328038,1.0
1598651247.3782535,328543,1.0
1598651247.579451,328544,1.0
1598651443.9846456,329050,1.0
1598651706.2115052,329710,1.0
1598651830.494944,330047,1.0
1598651938.2393308,330331,1.0
1598652180.2217064,330969,1.0
1598652432.3275852,331638,1.0
1598652546.424133,331949,1.0
1598652552.1118639,331976,1.0
1598652619.4358745,332127,1.0
1598652666.8625176,332258,1.0
1598652847.5440855,332720,1.0
1598652877.3039749,332806,1.0
1598653041.5176237,333257,1.0
1598653073.416502,333325,1.0
1598653235.720364,333763,1.0
1598653498.4714534,334442,1.0
1598653500.1608453,334448,1.0
1598653507.9842968,334477,1.0
1598653945.7994096,335626,1.0
1598654221.6606853,336383,1.0
1598654225.431887,336392,1.0
1598654356.4114876,336724,1.0
1598655105.501887,338708,1.0
1598655111.2587297,338736,1.0
1598655163.0668142,338890,1.0
1598655417.6102507,339545,1.0
1598656250.3429217,341761,1.0
1598656273.7763305,341807,1.0
1598656276.5220768,341820,1.0
1598656741.722245,343065,1.0
1598656772.4811397,343149,1.0
1598657292.5601525,344503,1.0
1598657298.8262231,344533,1.0
1598657370.0275996,344721,1.0
1598657582.8121734,345279,1.0
1598657622.8278887,345392,1.0
1598658293.5716677,347111,1.0
1598658694.7806928,348184,1.0
1598658838.115823,348541,1.0
1598658983.196661,348924,1.0
1598659144.4528584,349354,1.0
1598660379.9556828,352560,1.0
1598660410.05526,352628,1.0
1598660411.9116278,352633,1.0
1598660630.57192,353205,1.0
1598661029.7267675,354251,0.96875
1598661961.1377702,356694,1.0
1598662434.9533446,357924,1.0
1598662489.1963978,358083,1.0
1598662524.1715314,358162,1.0
1598662534.085816,358196,1.0
1598662679.7201087,358582,1.0
1598662771.5508547,358807,0.96875
1598662981.4908772,359382,1.0
1598663135.1638432,359790,1.0
1598663355.471566,360333,1.0
1598663394.7632499,360449,1.0
